Lord Borrie,http://www.parliament.uk/biographies/lords/lord-borrie/3501,30 September 2016
Lord Rix,http://www.parliament.uk/biographies/lords/lord-rix/3226,20 August 2016
Lord Goff of Chieveley,http://www.parliament.uk/biographies/lords/lord-goff-of-chieveley/2600,14 August 2016
Lord Evans of Temple Guiting,http://www.parliament.uk/biographies/lords/lord-evans-of-temple-guiting/2544,6 July 2016
Lord Leach of Fairford,http://www.parliament.uk/biographies/lords/lord-leach-of-fairford/3793,12 June 2016
Lord Peston,http://www.parliament.uk/biographies/lords/lord-peston/3176,23 April 2016
Lord Walton of Detchant,http://www.parliament.uk/biographies/lords/lord-walton-of-detchant/1716,21 April 2016
Lord Briggs,http://www.parliament.uk/biographies/lords/lord-briggs/3512,15 March 2016
Lord Brooks of Tremorfa,http://www.parliament.uk/biographies/lords/lord-brooks-of-tremorfa/3330,4 March 2016
Lord Avebury,http://www.parliament.uk/biographies/lords/lord-avebury/1665,14 February 2016
Lord Weidenfeld,http://www.parliament.uk/biographies/lords/lord-weidenfeld/1739,20 January 2016
Lord Ezra,http://www.parliament.uk/biographies/lords/lord-ezra/2752,22 December 2015
Lord Janner of Braunstone,http://www.parliament.uk/biographies/lords/lord-janner-of-braunstone/880,19 December 2015
Lord Noon,http://www.parliament.uk/biographies/lords/lord-noon/4232,27 October 2015
Lord Healey,http://www.parliament.uk/biographies/lords/lord-healey/979,3 October 2015
Lord Kilpatrick of Kincraig,http://www.parliament.uk/biographies/lords/lord-kilpatrick-of-kincraig/2072,16 September 2015
Lord Moser,http://www.parliament.uk/biographies/lords/lord-moser/2169,4 September 2015
Lord Montagu of Beaulieu,http://www.parliament.uk/biographies/lords/lord-montagu-of-beaulieu/1953,31 August 2015
Lord Williamson of Horton,http://www.parliament.uk/biographies/lords/lord-williamson-of-horton/2438,30 August 2015
Lord Griffiths,http://www.parliament.uk/biographies/lords/lord-griffiths/3586,30 May 2015
Baroness Rendell of Babergh,http://www.parliament.uk/biographies/lords/baroness-rendell-of-babergh/3258,2 May 2015
Lord Mustill,http://www.parliament.uk/biographies/lords/lord-mustill/1925,24 April 2015
Lord Mason of Barnsley,http://www.parliament.uk/biographies/lords/lord-mason-of-barnsley/1062,19 April 2015
Lord Sheppard of Didgemere,http://www.parliament.uk/biographies/lords/lord-sheppard-of-didgemere/2116,25 March 2015
Lord Molyneaux of Killead,http://www.parliament.uk/biographies/lords/lord-molyneaux-of-killead/1961,9 March 2015
Lord Mackie of Benshie,http://www.parliament.uk/biographies/lords/lord-mackie-of-benshie/1669,17 February 2015
Lord Gavron,http://www.parliament.uk/biographies/lords/lord-gavron/2504,7 February 2015
Baroness Platt of Writtle,http://www.parliament.uk/biographies/lords/baroness-platt-of-writtle/3177,1 February 2015
Lord Brittan of Spennithorne,http://www.parliament.uk/biographies/lords/lord-brittan-of-spennithorne/709,21 January 2015
